element_id,node_ids,ai_severity,primary_action,confidence
1141,"1731,24265,24259,1719",LOW,Project to CAD,0.49524128135823586
1144,"23598,20370,23807,23809",LOW,Project to CAD,0.4837703020525947
1145,"1664,1743,23316,23314",LOW,Project to CAD,0.4843221622013537
1146,"1884,22626,22177,23310",MEDIUM,Fix connectivity,0.95
1147,"24243,24260,20387,22200",LOW,Project to CAD,0.46014318945632926
1148,"20510,20507,22181,23471",HIGH,Fix connectivity,0.95
1149,"1815,24029,1860,22357",LOW,Project to CAD,0.47048706778557525
1151,"22169,23174,1730,20783",LOW,Fix connectivity,0.95
1154,"22438,22469,23649,22945",LOW,Accept mesh,0.27
1156,"22617,1839,20669,22149",LOW,Accept mesh,0.3
1157,"22175,23677,22339,1875",HIGH,Reduce skew,0.610853798773803
1158,"1805,1812,22063,20439",MEDIUM,Remesh area,0.4369757100705573
1159,"22688,1872,1862,22041",MEDIUM,Remesh area,0.444065240708793
1160,"20557,22068,1817,1818",LOW,Accept mesh,0.32
1162,"16970,1824,16971,23642",MEDIUM,Remesh area,0.45949527309941257
1165,"1738,24241,24232,23018",LOW,Project to CAD,0.4926268413350735
1167,"23541,1647,1648,22201",LOW,Project to CAD,0.4768508969164945
1170,"1861,1858,1652,23221",LOW,Project to CAD,0.4820453872092164
1171,"21957,1653,1652,20763",LOW,Accept mesh,0.29
1172,"23222,1653,1654,22624",LOW,Project to CAD,0.48116076829963733
1173,"21961,1655,1654,20762",LOW,Accept mesh,0.29
1174,"22607,1655,1656,22240",LOW,Accept mesh,0.29
1175,"22240,1656,1658,22261",LOW,Project to CAD,0.4861754660706158
1177,"20465,1657,1831,1830",LOW,Accept mesh,0.31
1178,"1168,1807,22587,22356",LOW,Project to CAD,0.4650220436145694
1179,"22170,20736,22486,22590",LOW,Project to CAD,0.5199225912375979
1180,"22261,1658,1831,22248",LOW,Project to CAD,0.4800929302871587
1181,"1659,22620,20613,20614",LOW,Project to CAD,0.49026027266147354
1182,"22673,1872,20400,1888",LOW,Accept mesh,0.33
1187,"1874,20400,1872,22688",MEDIUM,Remesh area,0.4404780726914565
1191,"1808,22435,1665,23956",LOW,Project to CAD,0.47219942422016176
1193,"21866,22008,1672,22690",LOW,Fix connectivity,0.95
1195,"20496,20493,1647,22664",LOW,Project to CAD,0.4834276217138934
1197,"24118,1673,1674,22864",LOW,Project to CAD,0.4888977182559401
1198,"22864,1674,1823,22863",MEDIUM,Project to CAD,0.5424514767544473
1199,"22874,1820,1819,20953",LOW,Project to CAD,0.48381887204763485
1201,"1638,20399,22470,22471",MEDIUM,Remesh area,0.45415351261407344
1202,"22861,22863,1823,1675",LOW,Project to CAD,0.4709871243388963
1204,"23654,1678,1677,22255",MEDIUM,Project to CAD,0.5719956853825725
1205,"1843,1844,1679,21024",LOW,Accept mesh,0.28
1206,"22771,1680,1679,23655",HIGH,Project to CAD,0.6065091398724298
1207,"21022,1680,1685,21018",LOW,Accept mesh,0.28
1208,"22776,1686,1685,22770",LOW,Project to CAD,0.4768867605352447
1209,"23658,1687,1686,22776",LOW,Project to CAD,0.47691753108876134
1210,"23659,1688,1687,23658",MEDIUM,Remesh area,0.4892257194513646
1211,"23995,1821,1820,22874",LOW,Project to CAD,0.48012554718113226
1213,"21011,1689,1691,21005",LOW,Accept mesh,0.28
1214,"22800,1696,1691,22254",LOW,Project to CAD,0.4697829893004924
1215,"21006,1696,1697,21007",LOW,Project to CAD,0.473540852724432
1218,"1699,20678,20675,22409",HIGH,Fix connectivity,0.95
1220,"22863,1700,1701,20965",MEDIUM,Remesh area,0.4416013962954815
1223,"22369,20441,20463,1889",LOW,Accept mesh,0.27
1224,"22637,1715,1714,21939",MEDIUM,Remesh area,0.4852140872366733
1225,"20408,1716,1715,20409",LOW,Accept mesh,0.27
1226,"22640,1716,1717,21938",MEDIUM,Remesh area,0.44948943040024225
1227,"22859,1822,1821,23995",LOW,Project to CAD,0.4828902971481152
1229,"23395,20564,22136,22556",LOW,Accept mesh,0.3
1230,"1675,1823,1822,22859",MEDIUM,Project to CAD,0.5849858660707913
1231,"20341,22369,1889,1857",LOW,Accept mesh,0.28
1232,"21882,21884,1663,21881",MEDIUM,Fix connectivity,0.95
1234,"23126,1826,1825,20836",LOW,Accept mesh,0.29
1235,"24139,1827,1826,23126",LOW,Project to CAD,0.45805464602288537
1237,"1702,20496,1722,20495",LOW,Accept mesh,0.3
1239,"24143,1828,1827,24139",LOW,Project to CAD,0.4591472253800693
1240,"22180,1660,22549,23429",LOW,Accept mesh,0.29
1241,"21963,22278,23353,20568",LOW,Accept mesh,0.28
1243,"22278,21963,22075,22344",LOW,Accept mesh,0.28
1244,"1736,23761,22542,23609",LOW,Project to CAD,0.47591742811303095
1247,"22132,23301,22309,21984",LOW,Accept mesh,0.28
1251,"22294,23958,23957,22474",LOW,Project to CAD,0.4807451330098278
1252,"22503,22705,1662,1306",LOW,Accept mesh,0.32
1253,"22372,20674,20673,22019",HIGH,Fix connectivity,0.95
1256,"1889,23598,23371,1857",LOW,Accept mesh,0.31
1258,"1658,20467,1830,1831",LOW,Accept mesh,0.3
1259,"20926,22375,22374,20939",LOW,Project to CAD,0.46534023611081377
1261,"22863,1700,20391,22864",MEDIUM,Remesh area,0.4429625872885548
1263,"22610,24329,24330,23000",LOW,Project to CAD,0.463742275949012
1264,"1732,20404,1716,20408",LOW,Project to CAD,0.49240147487664054
1265,"22322,22127,22011,22921",LOW,Accept mesh,0.27
1266,"21901,20400,22683,22685",MEDIUM,Remesh area,0.47060106220502407
1267,"22199,20377,20864,22611",LOW,Accept mesh,0.3
1269,"24175,24180,24189,1832",LOW,Project to CAD,0.4657330629845664
1270,"24092,22118,1833,1834",LOW,Project to CAD,0.4678330071100592
1271,"23819,1204,22446,22548",LOW,Project to CAD,0.47880014439437607
1272,"24108,24092,1834,1835",LOW,Project to CAD,0.4690243633181099
1273,"23666,24108,1835,1836",LOW,Project to CAD,0.4713780367734945
1275,"1678,1844,1843,21026",LOW,Project to CAD,0.4814528822918451
1276,"23654,1845,1844,1678",LOW,Project to CAD,0.4783452229983327
1277,"23690,1855,1854,22184",LOW,Project to CAD,0.46927875093396426
1278,"1651,20764,1856,1858",LOW,Accept mesh,0.28
1279,"22232,1651,1858,1861",LOW,Project to CAD,0.4785349046925253
1280,"22394,1892,1891,22163",LOW,Accept mesh,0.29
1284,"16970,22426,22543,1824",LOW,Accept mesh,0.31
1289,"22975,23031,20377,22199",LOW,Accept mesh,0.31
1290,"20665,1814,23285,20660",LOW,Project to CAD,0.4903583008008331
1293,"22161,22364,21032,1745",LOW,Project to CAD,0.4914813319276065
1294,"22302,1633,1166,22258",LOW,Project to CAD,0.49013989615526604
1298,"19530,6224,1949,6133",LOW,Accept mesh,0.3
1299,"6208,7473,1951,1952",LOW,Fix connectivity,0.95
1300,"19057,19056,10241,2214",LOW,Project to CAD,0.46007546093960433
1301,"2907,5351,6371,3113",HIGH,Fix connectivity,0.95
1302,"2047,2215,2196,6109",LOW,Accept mesh,0.28
1303,"10087,39203,39200,1957",LOW,Accept mesh,0.3
1304,"2068,7445,7697,18936",MEDIUM,Remesh area,0.4900246198366468
1308,"18431,12586,7670,7695",LOW,Accept mesh,0.27
1314,"16749,18427,4398,8797",LOW,Accept mesh,0.3
1315,"2212,16949,8785,7133",MEDIUM,Reduce skew,0.5575665783702091
1316,"17821,11722,7114,17819",LOW,Project to CAD,0.485063429800296
1317,"10241,9350,2213,2214",LOW,Accept mesh,0.31
1320,"19535,7325,6851,19531",LOW,Project to CAD,0.4818519585465751
1321,"11491,9270,1979,9068",LOW,Accept mesh,0.31
1322,"19326,39167,39173,9524",LOW,Accept mesh,0.29
1323,"1950,17121,6579,2060",LOW,Fix connectivity,0.95
1324,"39167,19326,6919,39163",LOW,Accept mesh,0.29
1329,"2071,2086,2090,2063",LOW,Project to CAD,0.46600734316665177
1330,"8355,39541,39539,1969",LOW,Accept mesh,0.31
1332,"2201,2200,5902,5898",LOW,Accept mesh,0.32
1333,"2216,18696,6901,7295",LOW,Project to CAD,0.4669866628402642
1334,"2203,6766,7561,8221",MEDIUM,Remesh area,0.4401604469906132
1337,"12493,18939,1990,7540",LOW,Project to CAD,0.4881084766934515
1338,"7289,8949,10602,39881",MEDIUM,Remesh area,0.44352160353179376
1339,"1969,39539,39504,16686",LOW,Fix connectivity,0.95
1341,"12067,12473,1982,2054",LOW,Project to CAD,0.4923971398213155
1342,"39948,8100,6907,2053",LOW,Accept mesh,0.3
1344,"8951,2065,5076,5058",LOW,Accept mesh,0.31
1348,"2004,8785,16949,17738",LOW,Project to CAD,0.48520861194767256
1349,"18939,4804,1987,1990",LOW,Project to CAD,0.506534862307802
1350,"2004,7926,6894,2039",LOW,Accept mesh,0.31
1351,"9144,11489,11121,9124",LOW,Accept mesh,0.32
1352,"10029,7275,2063,2061",LOW,Project to CAD,0.5127474987821669
1353,"17278,2223,6718,6716",LOW,Project to CAD,0.4720981768785444
1354,"7577,8613,1954,5034",LOW,Accept mesh,0.31
1355,"8613,7317,2199,1954",MEDIUM,Reduce skew,0.5924727145897182
1356,"7275,9976,2071,2063",LOW,Project to CAD,0.5048448401801782
1357,"16519,9329,8391,7890",LOW,Accept mesh,0.3
1358,"2073,7277,10029,2061",LOW,Project to CAD,0.4962652967368393
1359,"39414,39396,1970,16556",MEDIUM,Fix connectivity,0.95
1361,"39436,39481,18053,18057",LOW,Project to CAD,0.49674379802609125
1362,"11616,8843,8657,9404",MEDIUM,Remesh area,0.46597380937407584
1364,"2120,16570,16452,39374",HIGH,Reduce skew,0.6558315492521378
1365,"16772,2091,2083,4372",LOW,Accept mesh,0.3
1368,"2056,7240,8627,23341",LOW,Add node,0.4201200223570223
1371,"2095,19296,6782,7707",LOW,Project to CAD,0.46801523882943424
1372,"17179,6857,2096,17230",LOW,Project to CAD,0.46031304844109483
1373,"2106,1991,10748,10646",LOW,Project to CAD,0.46026453454188165
1375,"2167,7086,7309,5106",LOW,Accept mesh,0.32
1377,"39820,39801,2117,2044",LOW,Accept mesh,0.27
1378,"18319,18352,2119,2118",LOW,Project to CAD,0.47759049332844694
1383,"2001,2123,2211,2210",LOW,Project to CAD,0.48501109432087014
1385,"17189,3439,17319,17222",LOW,Accept mesh,0.27
1386,"17319,2134,2135,17323",LOW,Project to CAD,0.46441387125621475
1387,"17323,2135,17415,17419",LOW,Project to CAD,0.4584095487088825
1388,"2040,2041,8631,12447",LOW,Accept mesh,0.29
1389,"16907,17230,11932,2180",LOW,Project to CAD,0.46235651112886633
1390,"8762,7139,17811,39360",LOW,Accept mesh,0.3
1391,"18421,16723,1953,2182",LOW,Accept mesh,0.27
1392,"9396,7878,7874,8762",LOW,Accept mesh,0.32
1393,"16723,2218,17659,1953",LOW,Project to CAD,0.4779200156946412
1395,"2051,8945,8943,2897",LOW,Accept mesh,0.27
1396,"11239,2869,2051,2897",MEDIUM,Remesh area,0.4549760367417364
1397,"17824,24207,39820,2044",LOW,Project to CAD,0.47556921418180864
1399,"7896,2077,17652,2187",LOW,Project to CAD,0.504601524022549
1400,"9262,11213,2190,5485",LOW,Accept mesh,0.33
1402,"11628,39333,39310,11622",MEDIUM,Fix connectivity,0.95
1407,"16888,2191,2005,6925",LOW,Accept mesh,0.3
1408,"18352,39680,7149,7307",HIGH,Reduce skew,0.69419905340049
1411,"7707,6311,5902,2200",LOW,Accept mesh,0.29
1412,"2112,3085,3109,8309",LOW,Accept mesh,0.32
1414,"2107,39858,2219,18438",LOW,Project to CAD,0.4948877611019833
1418,"39758,39764,22035,1973",MEDIUM,Fix connectivity,0.95
1420,"1958,3661,3670,7463",MEDIUM,Fix connectivity,0.95
1422,"18987,2075,2072,2059",LOW,Accept mesh,0.3
1425,"11904,5227,6853,7021",MEDIUM,Fix connectivity,0.95
1426,"11460,2074,9068,11403",LOW,Project to CAD,0.4713375536773343
1427,"8963,5192,5118,8849",LOW,Accept mesh,0.31
1429,"8090,2206,2210,2211",LOW,Project to CAD,0.4760194832666658
1430,"7573,7569,7471,19527",LOW,Project to CAD,0.4887186970311631
1432,"7319,16726,39865,39875",MEDIUM,Reduce skew,0.5474496568518112
1434,"2182,1953,16722,16759",LOW,Accept mesh,0.27
1435,"17500,17504,17499,17498",LOW,Project to CAD,0.46140664485416316
1436,"19073,2097,6835,2213",LOW,Accept mesh,0.26
1437,"2188,2077,2078,16581",LOW,Accept mesh,0.29
1438,"1989,1993,6923,1959",LOW,Accept mesh,0.28
1440,"2110,8923,10417,1960",LOW,Accept mesh,0.28
1441,"17500,2104,2105,17504",LOW,Project to CAD,0.4610719291628751
1443,"2213,6835,10235,2214",LOW,Accept mesh,0.33
1446,"1965,8933,8935,8319",LOW,Accept mesh,0.28
1447,"1966,8321,11308,8971",LOW,Accept mesh,0.3
1448,"8319,1961,1966,1965",LOW,Project to CAD,0.4888614233603985
1449,"2062,39738,2222,2194",LOW,Accept mesh,0.33
1450,"2869,3113,11458,8939",LOW,Accept mesh,0.28
1451,"11326,2037,9084,5261",LOW,Project to CAD,0.48932587476406875
1452,"2051,1968,9100,8945",LOW,Accept mesh,0.3
1454,"8774,8776,17659,2218",LOW,Project to CAD,0.5122007517901344
1455,"2080,2075,6662,2176",LOW,Accept mesh,0.3
1457,"10249,1977,1963,7421",LOW,Accept mesh,0.28
1458,"5554,1972,1971,5565",LOW,Project to CAD,0.47441856662136767
1460,"17495,6347,5082,1974",MEDIUM,Fix connectivity,0.95
1461,"11632,17500,17498,6743",LOW,Project to CAD,0.4588931761252295
1462,"10249,9346,10642,1977",LOW,Accept mesh,0.29
1463,"11233,11460,2079,11229",LOW,Project to CAD,0.47265991273837166
1464,"18445,18451,2209,2197",LOW,Project to CAD,0.4874146794401076
1467,"16959,17117,17280,17283",LOW,Project to CAD,0.46615973405757155
1468,"1766,12414,12418,2067",LOW,Accept mesh,0.31
1469,"4706,1993,1989,4708",LOW,Project to CAD,0.48758228416891736
1470,"4408,1994,1993,4706",LOW,Project to CAD,0.48929925119589157
1472,"2075,2080,2070,2072",LOW,Accept mesh,0.28
1473,"5661,1995,1994,4408",LOW,Accept mesh,0.29
1474,"5647,2000,2002,5659",LOW,Accept mesh,0.29
1475,"2006,1995,5661,2064",LOW,Accept mesh,0.31
1476,"8933,11339,2003,8937",LOW,Accept mesh,0.29
1478,"5473,6839,6915,6447",LOW,Accept mesh,0.33
1481,"1976,39435,39436,18057",LOW,Fix connectivity,0.95
1482,"12716,4690,2220,8463",LOW,Accept mesh,0.31
1483,"9354,6178,2111,1986",LOW,Fix connectivity,0.95
1487,"2081,6919,2206,7573",LOW,Accept mesh,0.32
1488,"16568,16567,2187,1985",LOW,Fix connectivity,0.95
1489,"16581,2078,2174,2189",LOW,Project to CAD,0.47905151025692505
1490,"16726,16725,21388,39865",LOW,Accept mesh,0.28
1491,"8947,16945,34304,39255",MEDIUM,Fix connectivity,0.95
1494,"39654,19057,2214,39616",LOW,Accept mesh,0.3
1495,"2047,6042,6903,2215",LOW,Accept mesh,0.28
1497,"1977,10642,8411,18702",LOW,Project to CAD,0.465958088402318
1508,"18318,18314,18350,2120",LOW,Project to CAD,0.5107312775027026
1509,"2219,18443,18445,2197",LOW,Project to CAD,0.4883988956654951
1511,"7451,7703,2221,2196",LOW,Accept mesh,0.27
1516,"2068,18936,4997,2192",LOW,Project to CAD,0.5122360997727105
1518,"2084,6347,7809,2217",LOW,Accept mesh,0.29
1519,"4664,16532,16558,4557",LOW,Accept mesh,0.3
1522,"8230,8653,12333,39719",LOW,Accept mesh,0.33
1525,"6032,10441,7542,6278",LOW,Accept mesh,0.27
1527,"18352,7307,16567,2119",LOW,Project to CAD,0.4994649221494877
1529,"2188,16581,8250,8393",LOW,Accept mesh,0.29
1530,"7689,6028,2121,2122",LOW,Accept mesh,0.27
1533,"19043,7689,2122,2130",LOW,Project to CAD,0.4685550935128654
1534,"18431,12574,8645,12586",LOW,Accept mesh,0.29
1535,"2095,7707,19078,2097",LOW,Project to CAD,0.47445610720395087
1536,"11460,2089,6371,2079",LOW,Project to CAD,0.48493160001031355
1537,"3659,3661,1958,6575",MEDIUM,Fix connectivity,0.95
1538,"18942,4800,4802,4790",MEDIUM,Fix connectivity,0.95
1539,"8116,19043,2130,2131",LOW,Project to CAD,0.4702405165554393
1540,"2055,12347,12345,12349",LOW,Accept mesh,0.3
1541,"8244,2058,2050,4932",LOW,Accept mesh,0.32
1542,"8036,8116,2131,2132",LOW,Accept mesh,0.28
1543,"2107,7906,9415,39875",LOW,Accept mesh,0.31
1546,"18689,2216,7295,8368",LOW,Project to CAD,0.4744514239963779
1547,"16726,7319,2006,2002",LOW,Project to CAD,0.5341840933062292
1548,"18921,8036,2132,2133",LOW,Project to CAD,0.461023881432152
1549,"18922,18921,2133,2136",LOW,Project to CAD,0.4605947886390554
1550,"7644,2058,2055,7218",MEDIUM,Remesh area,0.44723590888315934
1551,"6884,2138,2137,6148",LOW,Accept mesh,0.28
1554,"3704,2082,2084,7410",HIGH,Reduce skew,0.6508246442382297
1556,"19031,2173,2171,6018",LOW,Project to CAD,0.48222147308737756
1557,"1989,2178,2177,4708",LOW,Project to CAD,0.4854000755790743
1558,"1959,2181,2178,1989",LOW,Accept mesh,0.28
1559,"24207,17824,8611,2067",LOW,Accept mesh,0.32
1561,"3109,8917,7127,8309",LOW,Accept mesh,0.31
1562,"18434,2183,2181,1959",LOW,Project to CAD,0.4671382680212014
1563,"6917,2090,2086,8096",LOW,Project to CAD,0.47041661210971214
1568,"8639,2184,2183,18434",LOW,Project to CAD,0.4666587478303462
1570,"2221,7703,2052,19543",LOW,Project to CAD,0.4667271286081943
1573,"16769,2185,2184,8639",LOW,Accept mesh,0.3
1574,"17695,2186,2185,16769",LOW,Project to CAD,0.4745664251998156
1579,"2174,7540,7691,2189",LOW,Project to CAD,0.4788645256991281
1580,"2062,18416,39758,39738",MEDIUM,Project to CAD,0.545731685456776
1581,"2118,2119,2175,18317",LOW,Project to CAD,0.47292812761330777
1582,"2085,2037,11389,9100",LOW,Accept mesh,0.31
1583,"2056,1982,8830,7240",LOW,Accept mesh,0.32
1584,"17731,17732,7214,9315",LOW,Accept mesh,0.27
1585,"2002,2006,2064,5659",LOW,Project to CAD,0.5174819862873062
1586,"11904,1980,1981,5227",LOW,Accept mesh,0.3
1588,"7563,6335,2207,2208",LOW,Accept mesh,0.32
1589,"12311,7563,2208,2069",LOW,Accept mesh,0.32
1591,"17796,5645,1967,1975",LOW,Project to CAD,0.501636613596486
1592,"17794,17796,1975,1978",LOW,Project to CAD,0.4845589556780718
1593,"9270,17794,1978,1979",LOW,Project to CAD,0.47662942146528336
1594,"2176,8882,8635,7555",MEDIUM,Remesh area,0.47075221254090455
1595,"1780,2092,6150,6164",LOW,Accept mesh,0.32
1598,"17472,17474,2074,11233",LOW,Project to CAD,0.47236088851630287
1599,"2216,18689,2043,8880",LOW,Project to CAD,0.4688609325053581
1601,"12349,12418,8114,7218",LOW,Fix connectivity,0.95
1603,"2049,2059,5729,7553",LOW,Accept mesh,0.27
1604,"7555,18985,2080,2176",LOW,Accept mesh,0.28
1605,"1766,2067,8611,8593",LOW,Accept mesh,0.28
1610,"8248,9841,8100,39948",LOW,Accept mesh,0.33
1612,"2196,2215,7701,7451",LOW,Accept mesh,0.27
1613,"39902,20978,39881,10602",HIGH,Reduce skew,0.6617504828549443
2063,"22476,20803,1230,22474",HIGH,Fix connectivity,0.95
2064,"23322,22339,23677,1232",MEDIUM,Remesh area,0.43741802744161534
2068,"20603,22501,22445,22147",HIGH,Fix connectivity,0.95
2069,"22169,22609,20794,20788",MEDIUM,Remesh area,0.43695283407345875
2070,"22545,1204,23830,1222",LOW,Project to CAD,0.4980603146207943
2073,"20915,1698,22001,20914",HIGH,Fix connectivity,0.95
2074,"21130,1672,22008,21125",MEDIUM,Fix connectivity,0.95
2075,"1218,22546,22545,1222",MEDIUM,Project to CAD,0.5546120999885358
2083,"23832,1222,23830,1206",LOW,Project to CAD,0.4985992576711707
2086,"20803,22609,22169,20783",MEDIUM,Project to CAD,0.5881560549378543
2089,"1665,22435,22609,22476",MEDIUM,Fix connectivity,0.95
2091,"22174,1228,23285,23284",LOW,Project to CAD,0.5173482779950622
2092,"1228,22174,22149,20661",HIGH,Project to CAD,0.6076454815959573
2093,"22269,1166,1164,23284",HIGH,Project to CAD,0.622025209384848
2095,"20394,1643,22605,1700",HIGH,Fix connectivity,0.95
2096,"1839,1304,1318,1356",HIGH,Add node,0.5632024264082878
2097,"22757,22266,1838,22085",MEDIUM,Remesh area,0.48457299990413377
2098,"22161,1947,20416,1224",LOW,Fix connectivity,0.95
2105,"22502,22503,1306,21179",HIGH,Reduce skew,0.6475501228788384
2145,"17119,6573,1752,7461",LOW,Fix connectivity,0.95
2146,"9486,7465,2092,1780",MEDIUM,Remesh area,0.4381478079344869
2149,"1780,6164,9354,7327",MEDIUM,Fix connectivity,0.95
2152,"7683,39765,39769,7303",HIGH,Fix connectivity,0.95
2158,"8230,39719,18319,2118",LOW,Project to CAD,0.4735754708952249
2160,"4873,7699,7561,4871",LOW,Fix connectivity,0.95
2163,"2050,2058,7644,4926",LOW,Accept mesh,0.31
2164,"39140,9482,7242,39173",HIGH,Fix connectivity,0.95
19672,"22256,22337,20588,20586",LOW,Project to CAD,0.4709895424196336
19674,"9342,5359,1956,5422",LOW,Fix connectivity,0.95
19746,"23296,22309,20654,20653",LOW,Project to CAD,0.4710811517500648
19748,"22303,23296,20653,20635",LOW,Project to CAD,0.47131557132841945
19755,"22620,23316,1743,20613",LOW,Project to CAD,0.472045247102384
19758,"20611,23317,1659,20614",LOW,Project to CAD,0.4727299754321368
19856,"22309,23301,20647,20654",LOW,Project to CAD,0.46851711832862614
19862,"22337,22284,20580,20588",LOW,Project to CAD,0.46931214490142664
19864,"22284,22318,20582,20580",LOW,Project to CAD,0.480609458499279
19872,"20587,1721,22626,20586",HIGH,Fix connectivity,0.95
20145,"1809,23321,22533,22535",LOW,Project to CAD,0.49305385447490074
20328,"23321,22148,22534,22533",MEDIUM,Project to CAD,0.5495808168483414
20349,"9148,6839,5473,6296",LOW,Accept mesh,0.32
20697,"23316,22620,22312,22316",LOW,Project to CAD,0.46494861593661707
20718,"23285,1814,22216,23286",MEDIUM,Project to CAD,0.5679506391738902
20744,"22198,22714,21157,21155",LOW,Project to CAD,0.46624547732532534
20774,"22266,21127,1837,22724",LOW,Project to CAD,0.4894273766386477
20902,"5452,6445,9342,11223",MEDIUM,Remesh area,0.4400634432410889
21125,"23285,23286,22269,23284",LOW,Project to CAD,0.49445383267753
21130,"22620,22612,23393,22312",LOW,Project to CAD,0.5064731903448665
21133,"22556,22325,22627,22554",LOW,Project to CAD,0.49140433945855
21162,"23393,22612,22627,22325",MEDIUM,Project to CAD,0.5671143872273804
21171,"22491,22627,23317,1809",LOW,Project to CAD,0.4756627254127714
21172,"22612,1659,23317,22627",MEDIUM,Project to CAD,0.5559570678804381
21182,"23314,22229,1742,23310",LOW,Project to CAD,0.47786933460065356
21185,"22296,22303,20635,20634",LOW,Project to CAD,0.4733242695681947
21254,"21116,22289,22287,21114",LOW,Project to CAD,0.46806033686461007
21256,"21113,21114,22287,22311",LOW,Project to CAD,0.49046070212384474
21259,"21151,22323,22336,21122",LOW,Project to CAD,0.47348522027366163
21269,"22280,21161,21162,22715",LOW,Project to CAD,0.4751054721483797
21275,"22619,22297,21168,21954",LOW,Project to CAD,0.4650691025706326
21277,"21954,21178,22279,22619",LOW,Project to CAD,0.4654411669826236
21281,"22324,22279,21178,21173",LOW,Project to CAD,0.46576525447924605
21396,"23548,1649,20481,23547",LOW,Accept mesh,0.31
21402,"20481,20478,23546,23547",LOW,Accept mesh,0.29
21424,"6296,5452,11223,9148",LOW,Accept mesh,0.3
21543,"21173,21172,22213,22324",LOW,Project to CAD,0.46548462616256564
21545,"22213,21172,21193,22320",LOW,Project to CAD,0.4650150345622859
21550,"22715,21162,21157,22714",LOW,Project to CAD,0.47086257456817115
21552,"21151,21161,22280,22323",LOW,Project to CAD,0.4860880035730251
21553,"22198,21155,21168,22297",LOW,Project to CAD,0.4762742223980731
21561,"22160,22159,1733,21140",LOW,Fix connectivity,0.95
21573,"22727,22289,21116,21121",LOW,Project to CAD,0.47238062820329474
21574,"22336,22727,21121,21122",LOW,Project to CAD,0.475210978736372
21662,"22266,22757,21034,21127",LOW,Project to CAD,0.4701908269813792
21663,"22757,22161,1745,21034",LOW,Project to CAD,0.4894405037044348
21827,"11213,11209,5487,2190",LOW,Accept mesh,0.3
21963,"5487,11209,1962,5489",MEDIUM,Remesh area,0.4595999995832966
22047,"10646,6758,6778,3602",LOW,Accept mesh,0.29
22048,"2106,10646,3602,3606",LOW,Project to CAD,0.4716752627614753
22049,"10748,6866,6758,10646",LOW,Project to CAD,0.46045893059843485
22050,"3606,3540,2180,2106",LOW,Project to CAD,0.4695920301090378
22051,"11624,6760,6866,10748",LOW,Project to CAD,0.46061484919024187
22055,"2180,11932,1991,2106",LOW,Project to CAD,0.45900805359624736
